"","overlap_type","seqnames","peakID","annotation","ENSEMBL","SYMBOL","log2FC_car","padj_car","log2FC_rna","padj_rna","geneChr","Start","End","gene_description"
"41","overlap","chr1","201946500-201947350","Promoter","ENSG00000163431","LMOD1",-1.06325860904106,0.0143127014073776,-4.83318660146735,7.71789842029011e-05,1,201896456,201946588,"leiomodin 1"
"42","overlap","chr1","201982100-201984000","Promoter","ENSG00000176393","RNPEP",-0.734166849550929,0.0132832414194977,-0.80352878324656,9.26997423207812e-35,1,201982372,202006147,"arginyl aminopeptidase"
"43","overlap","chr1","202143200-202145650","Promoter","ENSG00000143862","ARL8A",-1.06735015588041,0.000358654501668312,-0.813521382127556,3.00344031645076e-11,1,202133404,202144743,"ADP ribosylation factor like GTPase 8A"
"44","overlap","chr1","202213500-202214500","Exon","ENSG00000133067","LGR6",-1.98695395447466,4.42863182213779e-08,-1.94197105407612,4.95001957543595e-35,1,202193799,202319781,"leucine rich repeat containing G protein-coupled receptor 6"
"45","overlap","chr1","202806200-202809100","Promoter","ENSG00000117139","KDM5B",-0.944528507551658,4.1747405951012e-05,-0.231704041119911,0.0178726267489262,1,202724495,202808487,"lysine demethylase 5B"
"46","overlap","chr1","203006100-203008650","Promoter","ENSG00000163444","TMEM183A",-0.628927361868079,0.0279633491835582,0.358507352379035,2.06396537241427e-08,1,203007374,203024848,"transmembrane protein 183A"
"47","overlap","chr1","203795200-203797050","Promoter","ENSG00000058673","ZC3H11A",-0.666688562432402,0.0317638059883088,-0.306863380065334,3.69365818387258e-06,1,203795623,203854124,"zinc finger CCCH-type containing 11A"
"48","overlap","chr1","203860300-203863100","Promoter","ENSG00000182004","SNRPE",-0.674111680196585,0.0228518820677149,0.25604989330965,0.000285285579317961,1,203861599,203871152,"small nuclear ribonucleoprotein polypeptide E"
"49","overlap","chr1","204405850-204412500","Promoter","ENSG00000158615","PPP1R15B",-0.754397504064328,0.00528673605329585,0.262593771013694,0.000644957653675692,1,204396492,204411887,"protein phosphatase 1 regulatory subunit 15B"
"50","overlap","chr1","204515850-204517400","Promoter","ENSG00000198625","MDM4",-0.627005729341254,0.0445941106923377,-0.954139007942324,1.93337093475821e-35,1,204516379,204558120,"MDM4 regulator of p53"
"51","overlap","chr1","205226800-205229600","Promoter","ENSG00000133069","TMCC2",-0.895264646236348,0.00459592390869011,-0.87105758443589,9.30818799065114e-05,1,205227946,205273343,"transmembrane and coiled-coil domain family 2"
"52","overlap","chr1","220527200-220529750","Promoter","ENSG00000116141","MARK1",-3.05155114452189,2.03425790019614e-30,-6.01612152471785,3.35338218870599e-14,1,220528136,220664461,"microtubule affinity regulating kinase 1"
"53","overlap","chr1","220690200-220691000","Promoter","ENSG00000162817","C1orf115",-1.27012798656496,0.000299434940278093,-1.89770229416467,1.51698214080049e-43,1,220690363,220699153,"chromosome 1 open reading frame 115"
"54","overlap","chr1","236280850-236282800","Promoter","ENSG00000086619","ERO1B",-0.992686721133415,0.000191458598907411,-1.88172590142207,3.26487639974978e-25,1,236214681,236282019,"endoplasmic reticulum oxidoreductase 1 beta"
"55","overlap","chr1","236394250-236396200","5'UTR","ENSG00000186197","EDARADD",-2.64737641711315,2.48870590128704e-23,-2.29911877004778,5.81160443329524e-11,1,236348257,236502915,"EDAR associated death domain"
"56","overlap","chr1","244861300-244865350","Promoter","ENSG00000153187","HNRNPU",-0.579816374883548,0.0253764302122647,0.228809771585361,0.000402801068552025,1,244840638,244864560,"heterogeneous nuclear ribonucleoprotein U"
"57","overlap","chr10","73250-74550","Promoter","ENSG00000261456","TUBB8",-0.695258836060508,0.036895360110617,-5.11667059878739,1.87125572856272e-05,10,46888,74163,"tubulin beta 8 class VIII"
"58","overlap","chr10","75900-77000","Promoter","ENSG00000261456","TUBB8",-1.0605884175575,0.000449049806556935,-5.11667059878739,1.87125572856272e-05,10,46888,74163,"tubulin beta 8 class VIII"
"59","overlap","chr10","133350-137800","Promoter","ENSG00000015171","ZMYND11",-0.61979514309416,0.0209316156019267,0.276811052334086,0.00233748180255254,10,134465,254637,"zinc finger MYND-type containing 11"
"60","overlap","chr10","688700-690550","Promoter","ENSG00000151240","DIP2C",-1.22608948717837,0.000226463335665692,-1.18760000038061,9.40656363859914e-13,10,274190,689668,"disco interacting protein 2 homolog C"
"61","overlap","chr10","5094350-5094900","5'UTR","ENSG00000196139","AKR1C3",-1.60326115854974,0.000169102515073862,-2.06166571103766,3.19890449732868e-56,10,5035354,5107686,"aldo-keto reductase family 1 member C3"
"62","overlap","chr10","7410150-7410450","Intron","ENSG00000198879","SFMBT2",-4.54653259318229,1.56232414053832e-05,-4.32858119688839,4.36944914801187e-13,10,7158624,7411488,"Scm like with four mbt domains 2"
"63","overlap","chr10","31317950-31321750","Promoter","ENSG00000148516","ZEB1",-1.26261677780514,6.73307932182837e-08,-1.38500460296209,0.00243524725363867,10,31318495,31529814,"zinc finger E-box binding homeobox 1"
"64","overlap","chr10","60943000-60944850","5'UTR","ENSG00000072422","RHOBTB1",-1.76203501255982,1.30447595173295e-11,-1.7328723542645,0.00395945452268388,10,60869438,61001440,"Rho related BTB domain containing 1"
"65","overlap","chr10","71212900-71213850","5'UTR","ENSG00000107731","UNC5B",-1.71921316700618,2.23103435845286e-05,-2.01732040503039,1.01959664171447e-20,10,71212570,71302864,"unc-5 netrin receptor B"
"66","overlap","chr10","71217200-71217600","Exon","ENSG00000107731","UNC5B",-1.31660673709608,0.035389224888592,-2.01732040503039,1.01959664171447e-20,10,71212570,71302864,"unc-5 netrin receptor B"
"67","overlap","chr10","71396350-71397550","Promoter","ENSG00000107736","CDH23",-1.71137760757447,2.05123900911126e-06,-3.7206214849322,2.92637692347882e-51,10,71396920,71815947,"cadherin related 23"
"68","overlap","chr10","96720550-96721000","Promoter","ENSG00000155629","PIK3AP1",-1.62437471330617,0.00535798087920973,-1.48938630750027,1.07876046424679e-05,10,96593315,96720514,"phosphoinositide-3-kinase adaptor protein 1"
"69","overlap","chr10","110207200-110211800","Promoter","ENSG00000119950","MXI1",-0.71485311012497,0.0218272292157811,-0.472598217909622,0.000119009979650248,10,110207605,110287365,"MAX interactor 1, dimerization protein"
"70","overlap","chr10","110643750-110644900","Promoter","ENSG00000203867","RBM20",-2.75359127399919,3.29273006966462e-17,-2.28368342551517,5.08713832880355e-09,10,110644336,110839468,"RNA binding motif protein 20"
"71","overlap","chr10","110671900-110672950","Intron","ENSG00000203867","RBM20",-0.876538144323787,0.00821486749293291,-2.28368342551517,5.08713832880355e-09,10,110644336,110839468,"RNA binding motif protein 20"
"72","overlap","chr10","116741950-116743550","5'UTR","ENSG00000165868","HSPA12A",-0.68112563729003,0.0297075265818917,-0.412392371718908,9.36048049048432e-05,10,116671192,116850251,"heat shock protein family A (Hsp70) member 12A"
"73","overlap","chr10","122462300-122463000","Intron","ENSG00000166033","HTRA1",-1.87319430558667,9.35842833531328e-06,-3.38729867597671,3.3490432441518e-20,10,122458551,122514907,"HtrA serine peptidase 1"
"74","overlap","chr11","16604500-16608300","Exon","ENSG00000110693","SOX6",-2.8282889997595,3.14080182960944e-29,-2.55996731569764,0.000948779703076087,11,15966449,16739591,"SRY-box transcription factor 6"
"75","overlap","chr11","31826000-31827550","Promoter","ENSG00000281880","PAUPAR",-1.12063945032988,0.000812933740771653,-2.10891771604107,0.00323033205240337,11,31826347,31829311,"PAX6 upstream antisense RNA"
"76","overlap","chr11","36361800-36362000","Intron","ENSG00000135362","PRR5L",-1.69482845774318,0.0245632658089282,-1.58399450252479,1.18561626912665e-07,11,36296288,36465204,"proline rich 5 like"
"77","overlap","chr11","36376250-36377550","5'UTR","ENSG00000135362","PRR5L",-0.969969261812569,0.00228095931116843,-1.58399450252479,1.18561626912665e-07,11,36296288,36465204,"proline rich 5 like"
"78","overlap","chr11","46277550-46279050","Promoter","ENSG00000157613","CREB3L1",-0.742992017773508,0.0217193164489604,-1.44276744004304,5.69830748324987e-23,11,46277662,46321409,"cAMP responsive element binding protein 3 like 1"
"79","overlap","chr11","46916700-46919100","Promoter","ENSG00000134569","LRP4",-0.843022881495837,0.013942971828077,-1.11412572442465,7.79547472981024e-11,11,46856717,46918642,"LDL receptor related protein 4"
"80","overlap","chr11","57514850-57516300","Promoter","ENSG00000149150","SLC43A1",-1.03840490605693,0.00368736764956663,-1.10521523621516,0.043094184692329,11,57484534,57515780,"solute carrier family 43 member 1"
"81","overlap","chr11","64742550-64743850","5'UTR","ENSG00000068831","RASGRP2",-0.913283118335847,0.018831933813809,-2.15529311280791,2.96758441099224e-06,11,64726911,64745456,"RAS guanyl releasing protein 2"
"82","overlap","chr11","67415200-67415500","Promoter","ENSG00000172508","CARNS1",-1.43660400774833,0.0194778206159101,-3.00955504872204,3.1021513514419e-12,11,67415361,67425607,"carnosine synthase 1"
"83","overlap","chr11","75667300-75667650","Exon","ENSG00000171533","MAP6",-2.61944155187194,8.95375646814767e-06,-6.06380410584441,5.26166820959789e-06,11,75586918,75669038,"microtubule associated protein 6"
"84","overlap","chr11","82733500-82734150","Promoter","ENSG00000182103","FAM181B",-1.1055055967122,0.0139044466916388,-2.45374648435621,1.31024890007704e-07,11,82729940,82733864,"family with sequence similarity 181 member B"
"85","overlap","chr11","85661200-85665550","5'UTR","ENSG00000137504","CREBZF",-0.57489392846866,0.0497397414444625,-0.652354625588518,7.40067004487875e-17,11,85657742,85682908,"CREB/ATF bZIP transcription factor"
"86","overlap","chr11","94543400-94546750","Promoter","ENSG00000134627","PIWIL4",-1.71360171755897,1.16620483914815e-12,-2.36125778477624,0.00578733201105253,11,94543840,94621421,"piwi like RNA-mediated gene silencing 4"
"87","overlap","chr11","103109000-103110450","Promoter","ENSG00000187240","DYNC2H1",-0.722906522442928,0.0235515228681192,-0.640447473686992,4.33132502988634e-05,11,103109410,103479863,"dynein cytoplasmic 2 heavy chain 1"
"88","overlap","chr11","104163750-104165100","Promoter","ENSG00000170962","PDGFD",-1.1384351455149,0.000526346915433107,-1.17426851946322,5.82821541666573e-13,11,103907189,104164379,"platelet derived growth factor D"
"89","overlap","chr11","107590550-107591700","Promoter","ENSG00000110675","ELMOD1",-1.95658733492579,7.50699748908945e-09,-6.53046503896693,2.05522822203402e-06,11,107591091,107666779,"ELMO domain containing 1"
"90","overlap","chr11","111540550-111540900","5'UTR","ENSG00000204381","LAYN",-1.11114334344696,0.0352899335859563,-0.690824263702137,0.0140748630486073,11,111540280,111561745,"layilin"
"91","overlap","chr11","123194650-123195000","5'UTR","ENSG00000166250","CLMP",-1.81964471922536,0.00229348739821689,-1.86502210679533,0.00162931908578421,11,123069872,123195248,"CXADR like membrane protein"
"92","overlap","chr12","459600-459900","Promoter","ENSG00000139044","B4GALNT3",-1.60993451523454,0.0122797450130356,-2.66664818781665,1.72882315902603e-10,12,459939,563509,"beta-1,4-N-acetyl-galactosaminyltransferase 3"
"93","overlap","chr12","6821850-6822050","5'UTR","ENSG00000250510","GPR162",-2.09519474626238,0.00769361259459647,-5.28221527332509,1.64834983160507e-35,12,6821624,6829972,"G protein-coupled receptor 162"
"94","overlap","chr12","8696900-8699300","5'UTR","ENSG00000166532","RIMKLB",-0.580233201148545,0.0452022616959889,-1.18841832130286,2.6452732841732e-24,12,8681600,8783095,"ribosomal modification protein rimK like family member B"
"95","overlap","chr12","8709350-8709550","Intron","ENSG00000166532","RIMKLB",-3.06091646020806,1.27325540155504e-05,-1.18841832130286,2.6452732841732e-24,12,8681600,8783095,"ribosomal modification protein rimK like family member B"
"96","overlap","chr12","8913850-8915600","Promoter","ENSG00000111752","PHC1",-0.708437680301407,0.0283517266412434,-0.704823128573996,3.31193163691765e-12,12,8913896,8941467,"polyhomeotic homolog 1"
"97","overlap","chr12","9864600-9870800","Promoter","ENSG00000110852","CLEC2B",-0.740223643010497,0.016256286705041,-3.18205250940142,7.9162235024775e-146,12,9852369,9869386,"C-type lectin domain family 2 member B"
"98","overlap","chr12","9964900-9965300","Intron","ENSG00000172322","CLEC12A",-1.53991318631852,0.00796858802498536,-2.82969183289212,1.56499216545881e-27,12,9951316,9995694,"C-type lectin domain family 12 member A"
"99","overlap","chr12","39978050-39978850","Intron","ENSG00000151229","SLC2A13",-1.42296647486976,7.46926659481327e-05,-3.893077789757,2.10490295163327e-24,12,39755025,40106089,"solute carrier family 2 member 13"
"100","overlap","chr12","40056900-40057250","Intron","ENSG00000151229","SLC2A13",-8.38555337685576,1.82739765733953e-09,-3.893077789757,2.10490295163327e-24,12,39755025,40106089,"solute carrier family 2 member 13"
"101","overlap","chr12","40104450-40107750","Promoter","ENSG00000151229","SLC2A13",-2.46499429112252,7.67514078343044e-29,-3.893077789757,2.10490295163327e-24,12,39755025,40106089,"solute carrier family 2 member 13"
"102","overlap","chr12","49187900-49189400","Promoter","ENSG00000167552","TUBA1A",-1.0791305627077,0.000329093963230451,-3.13668838777088,8.46763446765568e-125,12,49184686,49189080,"tubulin alpha 1a"
"103","overlap","chr12","49437200-49437950","Intron","ENSG00000123352","SPATS2",-4.09429285851065,1.21829750327463e-17,-0.394827924818014,5.53733367218664e-06,12,49366584,49527425,"spermatogenesis associated serine rich 2"
"104","overlap","chr12","51424700-51425350","5'UTR","ENSG00000050438","SLC4A8",-1.02297371484496,0.00601168356443565,-0.485578164583854,0.0319730184201326,12,51391317,51515763,"solute carrier family 4 member 8"
"105","overlap","chr12","52022950-52023850","Promoter","ENSG00000123358","NR4A1",-2.0280878947535,9.29777527400011e-11,-2.46410693603753,3.06042028574228e-39,12,52022832,52059507,"nuclear receptor subfamily 4 group A member 1"
"106","overlap","chr12","52036750-52037800","5'UTR","ENSG00000123358","NR4A1",-1.21927033852273,0.000432626260569825,-2.46410693603753,3.06042028574228e-39,12,52022832,52059507,"nuclear receptor subfamily 4 group A member 1"
"107","overlap","chr12","54390750-54391450","Promoter","ENSG00000161642","ZNF385A",-1.08734791214814,0.00233144177540702,-2.90374584941321,1.969354330283e-202,12,54369133,54391298,"zinc finger protein 385A"
"108","overlap","chr12","57216400-57217800","Promoter","ENSG00000182379","NXPH4",-0.900154758387685,0.0201643587745902,-1.27358405327582,2.35315515149549e-16,12,57216794,57226449,"neurexophilin 4"
"109","overlap","chr12","57243100-57243950","3'UTR","ENSG00000185482","STAC3",-0.751173187696722,0.0453560041856106,-2.1197181983752,0.00126967029643301,12,57243453,57251188,"SH3 and cysteine rich domain 3"
"110","overlap","chr12","59595500-59597150","Promoter","ENSG00000118596","SLC16A7",-2.77464378483711,2.67794632770504e-21,-1.81986987417565,4.39821008956603e-05,12,59596029,59789855,"solute carrier family 16 member 7"
"111","overlap","chr12","62933650-62935650","Promoter","ENSG00000111110","PPM1H",-0.758603001012052,0.00572213937842673,-1.47634192885065,1.67224833353581e-29,12,62643994,62935150,"protein phosphatase, Mg2+/Mn2+ dependent 1H"
"112","overlap","chr12","64292850-64294000","Exon","ENSG00000185306","C12orf56",-0.730375869497665,0.0410686995099837,-2.49180458345276,5.27731739686776e-29,12,64264762,64390758,"chromosome 12 open reading frame 56"
"113","overlap","chr12","66234900-66236250","Exon","ENSG00000090376","IRAK3",-0.700224440748266,0.0442588638063736,-2.28260926966708,1.02405293191267e-05,12,66189195,66254622,"interleukin 1 receptor associated kinase 3"
"114","overlap","chr12","71439150-71439450","Intron","ENSG00000127324","TSPAN8",-1.40884549116126,0.0199012641570702,-8.25289503337629,5.74100496462133e-11,12,71125085,71441898,"tetraspanin 8"
"115","overlap","chr12","81077500-81079050","5'UTR","ENSG00000111058","ACSS3",-4.63627654144344,1.14978054861606e-39,-8.32660727739243,3.11211812444303e-49,12,80937815,81261210,"acyl-CoA synthetase short chain family member 3"
"116","overlap","chr12","85835900-85836300","Promoter","ENSG00000198774","RASSF9",-1.64050224275674,0.00192474646290448,-3.78119306574588,3.4226494837773e-12,12,85800703,85836409,"Ras association domain family member 9"
"117","overlap","chr12","86264500-86265600","Intron","ENSG00000182050","MGAT4C",-0.881467465504583,0.0347413900759675,-4.01180954701815,3.65749498830042e-15,12,85955666,86838998,"MGAT4 family member C"
"118","overlap","chr12","112408300-112409900","5'UTR","ENSG00000089009","RPL6",-0.575075926810916,0.0441027275059314,0.352616545939353,4.59426312469134e-09,12,112405189,112418838,"ribosomal protein L6"
"119","overlap","chr12","113135400-113135750","5'UTR","ENSG00000111344","RASAL1",-1.84958853439884,0.00287507002024147,-1.60182452133017,1.24268140418057e-13,12,113098819,113136239,"RAS protein activator like 1"
"120","overlap","chr12","116878500-116881250","Promoter","ENSG00000135116","HRK",-0.660802755515242,0.0390269906693206,-2.60414293454269,9.08717671545966e-14,12,116856144,116881441,"harakiri, BCL2 interacting protein"
"121","overlap","chr12","130871050-130873750","Promoter","ENSG00000132341","RAN",-0.719851751241824,0.0125385045081678,0.261596300455089,0.000169013303209444,12,130872037,130877678,"RAN, member RAS oncogene family"
"122","overlap","chr13","20689150-20689600","Intron","ENSG00000032742","IFT88",-1.31085391706268,0.00551159149681324,-0.488953089239014,5.01728165012428e-06,13,20567138,20691444,"intraflagellar transport 88"
"123","overlap","chr13","23979400-23980350","Promoter","ENSG00000182957","SPATA13",-1.48585186127224,3.35693841452802e-06,-0.525063710442252,1.51541171370213e-08,13,23979700,24321031,"spermatogenesis associated 13"
"124","overlap","chr13","26557150-26558400","Promoter","ENSG00000132970","WASF3",-1.00726470766747,0.00223564336048856,-1.37267396946282,6.34126937490973e-19,13,26557683,26688948,"WASP family member 3"
"125","overlap","chr13","26566650-26567600","Intron","ENSG00000132970","WASF3",-4.32722458267716,5.13900765498425e-15,-1.37267396946282,6.34126937490973e-19,13,26557683,26688948,"WASP family member 3"
"126","overlap","chr13","33282250-33286400","5'UTR","ENSG00000133121","STARD13",-0.814918402589844,0.0105699928897249,-0.713977829130236,4.68557547937938e-13,13,33103137,33676820,"StAR related lipid transfer domain containing 13"
"127","overlap","chr13","33349800-33351500","5'UTR","ENSG00000133121","STARD13",-0.767844741186969,0.0340746125163337,-0.713977829130236,4.68557547937938e-13,13,33103137,33676820,"StAR related lipid transfer domain containing 13"
"128","overlap","chr13","33817450-33819550","Promoter","ENSG00000133119","RFC3",-0.974802161100407,0.000310691170946795,0.294257481102097,0.00081842545825595,13,33818069,33966558,"replication factor C subunit 3"
"129","overlap","chr13","34941400-34943350","Promoter","ENSG00000172915","NBEA",-0.844403190270897,0.00612735086063386,-0.764595312665965,1.8172706324785e-07,13,34942270,35673022,"neurobeachin"
"130","overlap","chr13","35474650-35477100","Promoter","ENSG00000180660","MAB21L1",-0.922657540601619,0.00123521668695353,-0.61824339801349,0.036769588299997,13,35473789,35476689,"mab-21 like 1"
"131","overlap","chr13","36213600-36214900","Promoter","ENSG00000120669","SOHLH2",-1.23624390419935,4.39882342866103e-05,-0.322759227649401,0.000107471549955665,13,36168217,36214588,"spermatogenesis and oogenesis specific basic helix-loop-helix 2"
"132","overlap","chr13","36818850-36820550","Promoter","ENSG00000133111","RFXAP",-0.730683065578303,0.0270148684653337,-0.537744466937429,0.00247025987356009,13,36819222,36829104,"regulatory factor X associated protein"
"133","overlap","chr13","36998000-37002150","Promoter","ENSG00000120699","EXOSC8",-0.785013172064784,0.00372702021762576,-0.690623109016362,3.30012579443433e-16,13,36998816,37025881,"exosome component 8"
"134","overlap","chr13","37058550-37060100","Promoter","ENSG00000102710","SUPT20H",-0.734353565438897,0.0164937753751476,-0.562692386727432,2.45760640373423e-12,13,37009312,37059713,"SPT20 homolog, SAGA complex component"
